1009299,Fantastic Four,1539
1011013,Fantastic Four (Ultimate),101
1011111,Fantastick Four,1
1009301,Fantomex,66
1011233,Fat Cobra,16
1009335,Felicia Hardy,3
1009302,Fenris,6
1011213,Feral,9
1009303,Fin Fang Foom,30
1010868,Firebird,35
1009304,Firebrand,7
1014987,Firedrake,0
1009305,Firelord,43
1009306,Firestar,126
1011222,Firestar (Ultimate),5
1010880,Fixer (Paul Norbert Ebersol),8
1010863,Flatman,5
1010333,Flying Dutchman,0
1009470,Foggy Nelson,91
1009307,Force Works,28
1009308,Forearm,22
1009309,Forge,159
1014993,Forge (Ultimate),3
1011177,Forgotten One,2
1009229,Frank Castle,26
1011356,Frankenstein's Monster,27
1009539,Franklin Richards,178
1010980,Franklin Storm,6
1011240,Freak,6
1012478,Frenzy,16
1010799,Frightful Four,19
1011389,Frog Thor,29
1010670,Frog-Man,3
1009377,Gabe Jones,0
1009312,Galactus,243
1011384,Galia,0
1009313,Gambit,527
1011201,Gamma Corps,0
1010763,Gamora,78
1017324,Gamora (Marvel War of Heroes),0
1010832,Gargoyle,17
1012512,Gargoyle (Isaac Christians),14
1012513,Gargoyle (Yuri Topolov),1
1011380,Garia,0
1009383,Garrison Kane,19
1009315,Gateway,29
1009316,Gauntlet (Joseph Green),29
1011248,Geiger,0
1009556,Gene Sailors,0
1011285,Generation X,103
1009317,Genesis,17
1011098,Genis-Vell,11
1014974,George Stacy (Ultimate),9
1010749,Gertrude Yorkes,14
1010925,Ghost Rider (Daniel Ketch),100
1009318,Ghost Rider (Johnny Blaze),332
1017329,Ghost Rider (Marvel War of Heroes),0
1017833,Ghost Rider (Robbie Reyes),38
1011221,Giant Girl,2
1009320,Giant Man,60
1010720,Giant-dok,0
1010926,Giant-Man (Ultimate),20
1011055,Gideon,22
1012571,Gilgamesh,12
1014982,Git Hoskins,0
1009321,Gladiator (Kallark),83
1011256,Gladiator (Melvin Potter),9
1009645,Glenn Talbot,7
1011144,Glorian,11
1009322,Goblin Queen,13
1011374,Golden Guardian,0
1010927,Goliath (Bill Foster),28
1009324,Gorgon,64
1012610,Gorgon (Inhumans),16
1010731,Gorilla Man,19
1011076,Grandmaster,11
1012623,Graviton,12
1010702,Gravity,35
1011041,Great Lakes Avengers,13
1014985,Green Goblin (Barry Norman Osborn),12
1010928,Green Goblin (Harry Osborn),11
1011435,Green Goblin (Norman Osborn),89
1010929,Green Goblin (Ultimate),2
1009326,Gressill,0
1011420,Grey Gargoyle,30
1011292,Greymalkin,0
1009328,Grim Reaper,33
1010743,Groot,74
1009330,Guardian,36
1011299,Guardians of the Galaxy,398
1009331,Guardsmen,0
1010709,Gunslinger,0
1009207,GW Bridge,22
1009619,Gwen Stacy,90
1014994,Gwen Stacy (Ultimate),27
1011400,H.A.M.M.E.R.,8
1009332,H.E.R.B.I.E.,1
1011391,Hairball,8
1009333,Half-Life (Tony Masterson),1
1009334,Hammerhead,34
1014995,Hammerhead (Ultimate),5
1011490,Hank Pym,243
1011091,Hannibal King,2
1009348,Happy Hogan,18
1010821,Hardball,17
1011185,Harley Davidson Cooper,0
1009336,Harpoon,13
1011069,Harrier,0
1009339,Harry Heck,0
1009486,Harry Osborn,97
1011218,Harry Osborn (Ultimate),10
1010816,Hate-Monger (Adolf Hitler),3
1009337,Havok,361
1009338,Hawkeye,680
1010808,Hawkeye (Kate Bishop),115
1017311,Hawkeye (Marvel Heroes),0
1011131,Hawkeye (Ultimate),30
1017108,Hawkeye/Clint Barton (MAA),0
1012767,Hecate (Ravonna Renslayer),15
1011046,Hedge Knight,1
1011482,Hela,63
1010351,Hellcat (Patsy Walker),125
1009340,Hellfire Club,35
1014996,Hellfire Club (Ultimate),2
1010678,Hellion,28
1011044,Hellions (Squad),8
1009341,Hemingway,1
1011371,Henry Peter Gyrich,14
1009342,Hepzibah,38
1009343,Hercules,308
1010759,Heroes For Hire,84
1011274,Hex,0
1011300,High Evolutionary,42
1010839,Hindsight Lad,0
1010703,Hiroim,4
1011442,Hit-Monkey,23
1009345,Hitman,5
1011383,Hitomi Sakuma,0
1010930,Hobgoblin (Jason Macendale),11
1010931,Hobgoblin (Robin Borne),3
1009347,Hobgoblin (Roderick Kingsley),45
1009349,Holocaust (Age of Apocalypse),31
1009350,Holy,0
1017844,Honey Badger (Gabrielle Kinney),57
1011428,Hope Summers,109
1009557,Howard Saint,0
1010373,Howard The Duck,114
1009351,Hulk,1796
1017098,Hulk (HAS),1
1017333,Hulk (LEGO Marvel Super Heroes),0
1011118,Hulk (Marvel Zombies),8
1017303,Hulk (Marvel: Avengers Alliance),0
1011005,Hulk (Ultimate),27
1010721,Hulk-dok,0
1017107,Hulk/Bruce Banner (MAA),0
1009355,Hulkling,55
1010343,Human Cannonball,2
1011415,Human Fly (Richard Deacon),0
1010722,Human Robot,12
1009356,Human Torch,1197
1010932,Human Torch (Jim Hammond),58
1011102,Human Torch (Ultimate),55
1010675,Humbug,5
1009357,Husk,40
1009358,Hussar,8
1009359,Hydra,151
1009360,Hydro-Man,18
1009361,Hyperion (Earth-712),35
